date,-9,-7,-5,-3,-1,1,3,5,7,9,11
10/13/09,2850,111201,162198.67,427900,542700.33,0,0,0,0,0,0
10/14/09,3450,110551,163748.67,424350,548200.33,0,0,0,0,0,0
10/15/09,3550,112001,162498.67,421650,554150.33,0,0,0,0,0,0
10/16/09,12700,102750,163499.67,418150,559750.33,0,0,0,0,0,0
10/17/09,2850,106550,172199.67,412100,566000.33,0,0,0,0,0,0
10/18/09,4050,105450,172649.67,408950,572300.33,0,0,0,0,0,0
10/19/09,5600,106050,166899.53,406650.14,583800.33,0,0,0,0,0,0
10/20/09,9799.88,102950,166649.65,404750.14,589600.33,0,0,0,0,0,0
10/21/09,4899.76,108250.12,167349.65,402050.14,595200.33,0,0,0,0,0,0
10/22/09,16450,98449.88,166649.65,402000.14,598700.33,0,0,0,0,0,0
10/23/09,4450,113199.88,164899.65,400000.14,604150.33,0,0,0,0,0,0
10/24/09,15350,101549.88,167349.65,395850.14,609700.33,0,0,0,0,0,0
10/25/09,3800,111999.88,171599.65,390250.14,615950.33,0,0,0,0,0,0
10/26/09,3550,111649.88,172299.65,388550.14,621100.33,0,0,0,0,0,0
10/27/09,16200,98599.88,174299.65,384600.14,626650.33,0,0,0,0,0,0
10/28/09,3300,111049.88,177249.65,378400.14,633650.33,0,0,0,0,0,0
10/29/09,4350,106799.88,182249.65,372750.14,639800.33,0,0,0,0,0,0
10/30/09,3000,107349.88,185399.65,367900.14,645300.33,0,0,0,0,0,0
10/31/09,2300,106699.88,188099.65,362250.14,651900.33,0,0,0,0,0,0
11/1/09,1250,105399.88,191049.65,357800.14,657000.33,0,0,0,0,0,0
11/2/09,1650,104549.88,192799.65,350600.14,664550.33,0,0,0,0,0,0
11/3/09,3100,104249.88,190949.65,347350.14,671600.33,0,0,0,0,0,0
11/4/09,18650,89599.88,189199.65,344800.14,678150.33,0,0,0,0,0,0
11/5/09,2850,106749.88,186649.65,342750.14,684250.33,0,0,0,0,0,0
11/6/09,3100,107299.88,180049.65,346350.14,689550.33,0,0,0,0,0,0
11/7/09,3450,107599.88,179099.65,346350.14,693300.33,0,0,0,0,0,0
11/8/09,3650,107799.88,177849.65,346700.14,697450.33,0,0,0,0,0,0
