"<1d, x; 1d-1w, x; 1w-1m, x; 1-3m, x; 3-6m, x; 6-12m, x; 12-18m, x; 18-24m, x; 2-3y, x; 3-5y, x; >5y, x; BTC/USD, x","<1d, y","<1d, text","1d-1w, y","1d-1w, text","1w-1m, y","1w-1m, text","1-3m, y","1-3m, text","3-6m, y","3-6m, text","6-12m, y","6-12m, text","12-18m, y","12-18m, text","18-24m, y","18-24m, text","2-3y, y","2-3y, text","3-5y, y","3-5y, text",">5y, y",">5y, text","BTC/USD, y"
"2009-03-28","0.011762070124341885","1.18%","0.08502296404167134","7.33%","0.37717038198722974","29.21%","1.0","62.28%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-29","0.014221144306030206","1.42%","0.09216183441737404","7.79%","0.3719545805313637","27.98%","1.0","62.80%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-30","0.013347802495930549","1.33%","0.09039609332609876","7.70%","0.36505697232772655","27.47%","1.0","63.49%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-03-31","0.015493108238059624","1.55%","0.0902874238700716","7.48%","0.3614702425472807","27.12%","1.0","63.85%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-01","0.011890981795222563","1.19%","0.08912974850047352","7.72%","0.35778175313059035","26.87%","1.0","64.22%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-02","0.011594915589225254","1.16%","0.08747977007277227","7.59%","0.3560962253783977","26.86%","1.0","64.39%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-03","0.011298849383227949","1.13%","0.08582979164507101","7.45%","0.35441069762620503","26.86%","1.0","64.56%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-04","0.011132672862833214","1.11%","0.08548667143294864","7.44%","0.34858543560412625","26.31%","0.9998978653865797","65.13%","1.0","0.01%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-05","0.013286361348766986","1.33%","0.08454957221942627","7.13%","0.34544539506794164","26.09%","0.999899345747358","65.45%","1.0000000000000002","0.01%","1.0000000000000002","0.00%","1.0000000000000002","0.00%","1.0000000000000002","0.00%","1.0000000000000002","0.00%","1.0000000000000002","0.00%","1.0000000000000002","0.00%","0.0"
"2009-04-06","0.011012997321162812","1.10%","0.0839368985018355","7.29%","0.34269272745312035","25.88%","0.9999007838079176","65.72%","1.0","0.01%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-07","0.010397430872260955","1.04%","0.08119372558858771","7.08%","0.3388607919765846","25.77%","0.9999014825818421","66.10%","1.0","0.01%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-08","0.009781864423359092","0.98%","0.07845055267533993","6.87%","0.3350288565000489","25.66%","0.9999021813557664","66.49%","1.0","0.01%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-09","0.009645992090286486","0.96%","0.07543165814604033","6.58%","0.3311469084595351","25.57%","0.99864956110736","66.75%","1.0","0.14%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-10","0.009960959889101378","1.00%","0.0747281982452371","6.48%","0.3289416749719179","25.42%","0.9956140288885992","66.67%","1.0","0.44%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-11","0.01027592768791627","1.03%","0.07402473834443388","6.37%","0.3267364414843007","25.27%","0.9925784966698384","66.58%","1.0","0.74%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-12","0.011919286719849835","1.19%","0.07386203660253403","6.19%","0.3236977944626936","24.98%","0.9825058657907086","65.88%","1.0","1.75%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-13","0.012408556347809982","1.24%","0.07121029724974534","5.88%","0.31854801370497265","24.73%","0.970110195388462","65.16%","1.0","2.99%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-14","0.01151420999725852","1.15%","0.07246641688750799","6.10%","0.3153614182582473","24.29%","0.9580754820433154","64.27%","1.0","4.19%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-15","0.010192116893659241","1.02%","0.07260755840173176","6.24%","0.3059438982592225","23.33%","0.944213944259042","63.83%","1.0","5.58%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-16","0.010393894792658129","1.04%","0.07356671215429834","6.32%","0.3049174570986256","23.14%","0.9392737426753318","63.44%","1.0","6.07%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-17","0.01059567269165702","1.06%","0.07452586590686493","6.39%","0.3038910159380287","22.94%","0.9343335410916216","63.04%","1.0","6.57%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-18","0.010109890109890109","1.01%","0.07375824175824175","6.36%","0.29925274725274725","22.55%","0.9247032967032968","62.55%","1.0","7.53%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-19","0.010994895390224848","1.10%","0.07387794079347165","6.29%","0.29603264172237176","22.22%","0.914706137685563","61.87%","1.0","8.53%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-20","0.013890079739346651","1.39%","0.07528080253794049","6.14%","0.2985509731629941","22.33%","0.9035411129212038","60.50%","1.0","9.65%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
"2009-04-21","0.010586939950876598","1.06%","0.0807995257050902","7.02%","0.29702718726179383","21.62%","0.8942152960108409","59.72%","1.0","10.58%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","1.0","0.00%","0.0"
