,Volume,Type
2015-06-23,15108700,BTC
2015-06-24,17344900,BTC
2015-06-25,16133100,BTC
2015-06-26,13983500,BTC
2015-06-27,20488600,BTC
2015-06-28,15137600,BTC
2015-06-29,34742900,BTC
2015-06-30,44533800,BTC
2015-07-01,27029800,BTC
2015-07-02,21551900,BTC
2015-07-03,19033800,BTC
2015-07-04,15620400,BTC
2015-07-05,44156100,BTC
2015-07-06,49154800,BTC
2015-07-07,28857600,BTC
2015-07-08,36980200,BTC
2015-07-09,40301200,BTC
2015-07-10,100390000,BTC
2015-07-11,41109900,BTC
2015-07-12,56405000,BTC
2015-07-13,62053900,BTC
2015-07-14,28727200,BTC
2015-07-15,27486600,BTC
2015-07-16,49482600,BTC
2015-07-17,27591400,BTC
2015-07-18,25187100,BTC
2015-07-19,15332500,BTC
2015-07-20,22711400,BTC
2015-07-21,22930700,BTC
2015-07-22,19389800,BTC
2015-07-23,18531300,BTC
2015-07-24,37199400,BTC
2015-07-25,20662200,BTC
2015-07-26,16032300,BTC
2015-07-27,30592000,BTC
2015-07-28,25453600,BTC
2015-07-29,24672600,BTC
2015-07-30,21635800,BTC
2015-07-31,23629100,BTC
2015-08-01,18995000,BTC
2015-08-02,17722200,BTC
2015-08-03,21474100,BTC
2015-08-04,21908700,BTC
2015-08-05,20128000,BTC
2015-08-06,18792100,BTC
2015-08-07,42484800,BTC
2015-08-08,58533000,BTC
2015-08-09,23789600,BTC
2015-08-10,20979400,BTC
2015-08-11,25433900,BTC
2015-08-12,26815400,BTC
2015-08-13,27685500,BTC
2015-08-14,27091200,BTC
2015-08-15,19321100,BTC
2015-08-16,29717000,BTC
2015-08-17,21617900,BTC
2015-08-18,42147200,BTC
2015-08-19,60869200,BTC
2015-08-20,32275000,BTC
2015-08-21,23173800,BTC
2015-08-22,23205900,BTC
2015-08-23,18406600,BTC
2015-08-24,59220700,BTC
2015-08-25,61089200,BTC
2015-08-26,31808000,BTC
2015-08-27,21905400,BTC
2015-08-28,31336600,BTC
2015-08-29,17142500,BTC
2015-08-30,19412600,BTC
2015-08-31,20710700,BTC
2015-09-01,20575200,BTC
2015-09-02,18760400,BTC
2015-09-03,17482000,BTC
2015-09-04,20962400,BTC
2015-09-05,20671400,BTC
2015-09-06,25473700,BTC
2015-09-07,21192200,BTC
2015-09-08,26879200,BTC
2015-09-09,23635700,BTC
2015-09-10,21215500,BTC
2015-09-11,19224700,BTC
2015-09-12,17962600,BTC
2015-09-13,18478800,BTC
2015-09-14,20997800,BTC
2015-09-15,19177800,BTC
2015-09-16,20144200,BTC
2015-09-17,18935400,BTC
2015-09-18,20242200,BTC
2015-09-19,12712600,BTC
2015-09-20,14444700,BTC
2015-09-21,19678800,BTC
2015-09-22,25009300,BTC
2015-09-23,17254100,BTC
2015-09-24,25097800,BTC
2015-09-25,22363600,BTC
2015-09-26,13724100,BTC
2015-09-27,14179900,BTC
2015-09-28,24713000,BTC
2015-09-29,22691300,BTC
2015-09-30,19743500,BTC
2015-10-01,20488800,BTC
2015-10-02,19677900,BTC
2015-10-03,16482700,BTC
2015-10-04,12999000,BTC
2015-10-05,23335900,BTC
2015-10-06,27535100,BTC
2015-10-07,22999200,BTC
2015-10-08,18515300,BTC
2015-10-09,17353100,BTC
2015-10-10,15912700,BTC
2015-10-11,16827300,BTC
2015-10-12,17388300,BTC
2015-10-13,28198500,BTC
2015-10-14,27462600,BTC
2015-10-15,25223500,BTC
2015-10-16,35901500,BTC
2015-10-17,43199600,BTC
2015-10-18,22434300,BTC
2015-10-19,25258800,BTC
2015-10-20,30889800,BTC
2015-10-21,25637300,BTC
2015-10-22,37808600,BTC
2015-10-23,29442500,BTC
2015-10-24,25942400,BTC
2015-10-25,45717100,BTC
2015-10-26,32108800,BTC
2015-10-27,46331800,BTC
2015-10-28,50808100,BTC
2015-10-29,64495900,BTC
2015-10-30,78305000,BTC
2015-10-31,48598100,BTC
2015-11-01,37001100,BTC
2015-11-02,101918000,BTC
2015-11-03,206162000,BTC
2015-11-04,263900000,BTC
2015-11-05,151824992,BTC
2015-11-06,122687000,BTC
2015-11-07,56625100,BTC
2015-11-08,51817600,BTC
2015-11-09,68224400,BTC
2015-11-10,95797904,BTC
2015-11-11,107070000,BTC
2015-11-12,78477800,BTC
2015-11-13,52003000,BTC
2015-11-14,38612000,BTC
2015-11-15,44213100,BTC
2015-11-16,47980100,BTC
2015-11-17,51001600,BTC
2015-11-18,43783800,BTC
2015-11-19,45011100,BTC
2015-11-20,53152900,BTC
2015-11-21,28200500,BTC
2015-11-22,23439400,BTC
2015-11-23,27478900,BTC
2015-11-24,29362600,BTC
2015-11-25,41666900,BTC
2015-11-26,106105000,BTC
2015-11-27,55179100,BTC
2015-11-28,36816600,BTC
2015-11-29,40409300,BTC
2015-11-30,71701600,BTC
2015-12-01,60452200,BTC
2015-12-02,54160500,BTC
2015-12-03,50714900,BTC
2015-12-04,35784100,BTC
2015-12-05,66282200,BTC
2015-12-06,77762000,BTC
2015-12-07,63455800,BTC
2015-12-08,57801400,BTC
2015-12-09,90917200,BTC
2015-12-10,52138900,BTC
2015-12-11,110944000,BTC
2015-12-12,131969000,BTC
2015-12-13,55050600,BTC
2015-12-14,130496000,BTC
2015-12-15,83121104,BTC
2015-12-16,107944000,BTC
